,uf_unique_,stop_id,name,operator,mode,direction,route_id,related_ro,related__1,related__2,headway_av,headway__1,headway__2,headway__3,hourly_arr,hourly_a_1,hourly_a_2,hourly_a_3,total_arri,total_ar_1,geometry_k,geometry
1704,f-9q9-scmtdcom_1722,2701R,Santa Cruz Metro Center - Lane 1,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200024,,,60.0,60.0,,0.5,0.19,0.25,3.0,4.0,26e466ac4981885e,POINT (-122.024574 36.971077)
1705,f-9q9-scmtdcom_1723,2701R,Santa Cruz Metro Center - Lane 1,Santa Cruz Metro,Bus,0,42,42,Davenport / Bonny Doon,420013,,,,480.0,0.5,,0.06,0.12,1.0,2.0,26e466ac4981885e,POINT (-122.024574 36.971077)
1706,f-9q9-scmtdcom_1724,2701R,Santa Cruz Metro Center - Lane 1,Santa Cruz Metro,Bus,0,42,42,Davenport / Bonny Doon,420012,,,120.0,,,0.5,0.12,,2.0,,26e466ac4981885e,POINT (-122.024574 36.971077)
1707,f-9q9-scmtdcom_1725,2702R,Santa Cruz Metro Center - Lane 2,Santa Cruz Metro,Bus,0,04,04,Harvey West / Emeline,040001,,,56.88,,,0.5,0.56,,9.0,,eedf9fa0cb44212d,POINT (-122.024529 36.970917)
1708,f-9q9-scmtdcom_1726,2702R,Santa Cruz Metro Center - Lane 2,Santa Cruz Metro,Bus,0,04,04,Harvey West / Emeline,040003,60.0,,60.0,,1.0,,0.12,,2.0,,eedf9fa0cb44212d,POINT (-122.024529 36.970917)
1709,f-9q9-scmtdcom_1727,2702R,Santa Cruz Metro Center - Lane 2,Santa Cruz Metro,Bus,0,17,17,Amtrak Highway 17 Express,170053,50.0,,105.25,102.88,1.0,0.5,0.56,0.56,10.0,9.0,eedf9fa0cb44212d,POINT (-122.024529 36.970917)
1710,f-9q9-scmtdcom_1728,2702R,Santa Cruz Metro Center - Lane 2,Santa Cruz Metro,Bus,1,17,17,Amtrak Highway 17 Express,170043,,,220.5,139.0,0.5,,0.19,0.19,3.0,3.0,eedf9fa0cb44212d,POINT (-122.024529 36.970917)
1711,f-9q9-scmtdcom_1729,2702R,Santa Cruz Metro Center - Lane 2,Santa Cruz Metro,Bus,1,17,17,Amtrak Highway 17 Express,170042,,,128.6,94.5,0.5,0.5,0.38,0.56,7.0,10.0,eedf9fa0cb44212d,POINT (-122.024529 36.970917)
1712,f-9q9-scmtdcom_1730,2702R,Santa Cruz Metro Center - Lane 2,Santa Cruz Metro,Bus,1,17,17,Amtrak Highway 17 Express,170070,,,321.5,,,0.5,0.19,,3.0,,eedf9fa0cb44212d,POINT (-122.024529 36.970917)
1713,f-9q9-scmtdcom_1731,2702R,Santa Cruz Metro Center - Lane 2,Santa Cruz Metro,Bus,0,17,17,Amtrak Highway 17 Express,170054,,,,137.67,,,0.06,0.25,1.0,4.0,eedf9fa0cb44212d,POINT (-122.024529 36.970917)
